id,category,BLEURT
syn_000027,Caregiving Challenges – Emotional Impact,0.38756680488586426
syn_000039,Caregiving Challenges – Emotional Impact,0.4416992664337158
syn_000049,Caregiving Challenges – Emotional Impact,0.46991127729415894
syn_000050,Caregiving Challenges – Emotional Impact,0.49115198850631714
syn_000095,Caregiving Challenges – Distance Caregiving,0.49722880125045776
syn_000139,Support Currently Used,0.43438875675201416
syn_000163,Support Needed,0.4721674919128418
syn_000169,Support Needed,0.46809881925582886
syn_000200,Online Support – Willingness,0.4713781476020813
syn_000204,Online Support – Barriers,0.4546165466308594
syn_000303,Caregiving Challenges – Care Recipient Behavior,0.48248618841171265
syn_000304,Caregiving Challenges – Care Recipient Behavior,0.5393698811531067
syn_000322,Caregiving Challenges – Care Recipient Behavior,0.5074615478515625
syn_000328,Caregiving Challenges – Distance Caregiving,0.5414528846740723
syn_000352,Caregiving Challenges – None Reported,0.4397442936897278
syn_000385,Support Currently Used,0.47001755237579346
syn_000391,Support Currently Used,0.4724847078323364
syn_000392,Support Currently Used,0.4908497929573059
syn_000401,Support Needed,0.45218420028686523
syn_000416,Support Needed,0.48655349016189575
syn_000423,Support Needed,0.457089900970459
syn_000436,Online Support – Willingness,0.5011124610900879
syn_000452,Online Support – Barriers,0.41477352380752563
syn_000453,Online Support – Barriers,0.4238555431365967
syn_000457,Online Support – Barriers,0.4547923803329468
syn_000467,Online Support – Barriers,0.468464195728302
syn_000471,Online Support – Barriers,0.45594948530197144
syn_000486,Current Digital Tool Use,0.5035333633422852
syn_000530,Caregiving Challenges – Emotional Impact,0.4746014475822449
syn_000533,Caregiving Challenges – Emotional Impact,0.46485936641693115
syn_000539,Caregiving Challenges – Emotional Impact,0.4738779664039612
syn_000572,Caregiving Challenges – Care Recipient Behavior,0.5048949122428894
syn_000605,Caregiving Challenges – None Reported,0.4990575313568115
syn_000637,Support Currently Used,0.4261820912361145
syn_000645,Support Currently Used,0.44141316413879395
syn_000660,Support Needed,0.5007669925689697
syn_000678,Online Support – Willingness,0.4394376873970032
syn_000686,Online Support – Willingness,0.4264181852340698
syn_000693,Online Support – Willingness,0.4681720733642578
syn_000712,Online Support – Barriers,0.48394572734832764
syn_000726,Current Digital Tool Use,0.48208075761795044
syn_000744,Current Digital Tool Use,0.493832528591156
syn_000751,Caregiving Challenges – Balance & Time,0.46153342723846436
syn_000761,Caregiving Challenges – Balance & Time,0.47718244791030884
syn_000783,Caregiving Challenges – Emotional Impact,0.4695982336997986
syn_000786,Caregiving Challenges – Emotional Impact,0.4683067202568054
syn_000817,Caregiving Challenges – Care Recipient Behavior,0.5393030643463135
syn_000846,Caregiving Challenges – Distance Caregiving,0.47287052869796753
syn_000852,Caregiving Challenges – None Reported,0.4841887354850769
syn_000866,Caregiving Challenges – None Reported,0.5312187075614929
syn_000868,Caregiving Challenges – None Reported,0.5301755666732788
syn_000875,Caregiving Challenges – None Reported,0.48134833574295044
syn_000906,Support Needed,0.528642475605011
syn_000955,Online Support – Barriers,0.495799720287323
syn_000979,Current Digital Tool Use,0.49865788221359253
syn_001060,Caregiving Challenges – Care Recipient Behavior,0.4317241311073303
syn_001063,Caregiving Challenges – Care Recipient Behavior,0.42530733346939087
syn_001077,Caregiving Challenges – Distance Caregiving,0.4940974712371826
syn_001084,Caregiving Challenges – Distance Caregiving,0.47709178924560547
syn_001109,Caregiving Challenges – None Reported,0.4585376977920532
syn_001111,Caregiving Challenges – None Reported,0.44058382511138916
syn_001124,Caregiving Challenges – None Reported,0.44696664810180664
syn_001178,Online Support – Willingness,0.4356890916824341
syn_001183,Online Support – Willingness,0.46296995878219604
syn_001191,Online Support – Willingness,0.45786041021347046
syn_001201,Online Support – Barriers,0.44144195318222046
syn_001209,Online Support – Barriers,0.4325464367866516
syn_001238,Current Digital Tool Use,0.5350167155265808
syn_001287,Caregiving Challenges – Emotional Impact,0.45193833112716675
syn_001317,Caregiving Challenges – Care Recipient Behavior,0.468370258808136
syn_001318,Caregiving Challenges – Care Recipient Behavior,0.4701398015022278
syn_001338,Caregiving Challenges – Distance Caregiving,0.47414958477020264
syn_001357,Caregiving Challenges – None Reported,0.49702930450439453
syn_001377,Support Currently Used,0.4257799983024597
syn_001382,Support Currently Used,0.4894546866416931
syn_001385,Support Currently Used,0.4329005479812622
syn_001409,Support Needed,0.4829515814781189
syn_001430,Online Support – Willingness,0.4689541459083557
syn_001496,Current Digital Tool Use,0.5070664286613464
syn_001498,Current Digital Tool Use,0.47901076078414917
syn_001528,Caregiving Challenges – Emotional Impact,0.49300867319107056
syn_001563,Caregiving Challenges – Care Recipient Behavior,0.4718414545059204
syn_001567,Caregiving Challenges – Care Recipient Behavior,0.5039172768592834
syn_001586,Caregiving Challenges – Distance Caregiving,0.45682722330093384
syn_001597,Caregiving Challenges – Distance Caregiving,0.5310807824134827
syn_001662,Support Needed,0.5189381837844849
syn_001668,Support Needed,0.49659669399261475
syn_001670,Support Needed,0.45101380348205566
syn_001685,Online Support – Willingness,0.44037961959838867
syn_001709,Online Support – Barriers,0.505226731300354
syn_001726,Current Digital Tool Use,0.49140119552612305
syn_001727,Current Digital Tool Use,0.4886056184768677
syn_001746,Current Digital Tool Use,0.5034133195877075
syn_001747,Current Digital Tool Use,0.4604761600494385
syn_001765,Caregiving Challenges – Balance & Time,0.48770326375961304
syn_001766,Caregiving Challenges – Balance & Time,0.48254531621932983
syn_001768,Caregiving Challenges – Balance & Time,0.47043663263320923
syn_001770,Caregiving Challenges – Balance & Time,0.4633437991142273
syn_001819,Caregiving Challenges – Care Recipient Behavior,0.5160073637962341
syn_001822,Caregiving Challenges – Care Recipient Behavior,0.4365920424461365
syn_001833,Caregiving Challenges – Distance Caregiving,0.4985436797142029
syn_001842,Caregiving Challenges – Distance Caregiving,0.4625147581100464
syn_001845,Caregiving Challenges – Distance Caregiving,0.4941003918647766
syn_001872,Caregiving Challenges – None Reported,0.444377064704895
syn_001877,Support Currently Used,0.4668107032775879
syn_001969,Online Support – Barriers,0.47792625427246094
syn_002012,Caregiving Challenges – Balance & Time,0.4180038571357727
syn_002025,Caregiving Challenges – Balance & Time,0.47861313819885254
syn_002040,Caregiving Challenges – Emotional Impact,0.48189353942871094
syn_002054,Caregiving Challenges – Care Recipient Behavior,0.46475452184677124
syn_002094,Caregiving Challenges – Distance Caregiving,0.5045051574707031
syn_002132,Support Currently Used,0.4592609405517578
syn_002175,Support Needed,0.5015758275985718
syn_002176,Online Support – Willingness,0.470909059047699
syn_002211,Online Support – Barriers,0.4778895974159241
syn_002226,Current Digital Tool Use,0.42878133058547974
syn_002256,Caregiving Challenges – Balance & Time,0.5064175128936768
syn_002266,Caregiving Challenges – Balance & Time,0.47202956676483154
syn_002273,Caregiving Challenges – Balance & Time,0.41385531425476074
syn_002292,Caregiving Challenges – Emotional Impact,0.5182156562805176
syn_002363,Caregiving Challenges – None Reported,0.4347778558731079
syn_002392,Support Currently Used,0.5329632759094238
syn_002476,Current Digital Tool Use,0.48121047019958496
syn_002482,Current Digital Tool Use,0.43973278999328613
syn_002559,Caregiving Challenges – Care Recipient Behavior,0.5891559720039368
syn_002581,Caregiving Challenges – Distance Caregiving,0.3932096064090729
syn_002603,Caregiving Challenges – None Reported,0.5114728808403015
syn_002621,Caregiving Challenges – None Reported,0.46879714727401733
syn_002664,Support Needed,0.5011406540870667
syn_002669,Support Needed,0.4659755825996399
syn_002676,Online Support – Willingness,0.5004913806915283
syn_002679,Online Support – Willingness,0.45498114824295044
syn_002682,Online Support – Willingness,0.5377135276794434
syn_002769,Caregiving Challenges – Balance & Time,0.39391881227493286
syn_002795,Caregiving Challenges – Emotional Impact,0.5097692608833313
syn_002813,Caregiving Challenges – Care Recipient Behavior,0.4753497838973999
syn_002929,Online Support – Willingness,0.4906858205795288
syn_002941,Online Support – Willingness,0.4952252507209778
syn_002965,Online Support – Barriers,0.4639396071434021
syn_002979,Current Digital Tool Use,0.4895816445350647
syn_003010,Caregiving Challenges – Balance & Time,0.481634259223938
syn_003020,Caregiving Challenges – Balance & Time,0.4583614468574524
syn_003072,Caregiving Challenges – Care Recipient Behavior,0.5063924193382263
syn_003086,Caregiving Challenges – Distance Caregiving,0.5091549754142761
syn_003104,Caregiving Challenges – None Reported,0.526307225227356
syn_003125,Caregiving Challenges – None Reported,0.5037201046943665
syn_003132,Support Currently Used,0.499775767326355
syn_003134,Support Currently Used,0.4295552372932434
syn_003136,Support Currently Used,0.3682782053947449
syn_003173,Support Needed,0.403508722782135
syn_003203,Online Support – Barriers,0.45413750410079956
syn_003233,Current Digital Tool Use,0.484524130821228
syn_003261,Caregiving Challenges – Balance & Time,0.4610636234283447
syn_003283,Caregiving Challenges – Emotional Impact,0.4820058345794678
syn_003308,Caregiving Challenges – Care Recipient Behavior,0.5201496481895447
syn_003319,Caregiving Challenges – Care Recipient Behavior,0.48040205240249634
syn_003340,Caregiving Challenges – Distance Caregiving,0.42034924030303955
syn_003392,Support Currently Used,0.5267034769058228
syn_003418,Support Needed,0.4533587098121643
syn_003441,Online Support – Willingness,0.49486619234085083
syn_003459,Online Support – Barriers,0.4676685929298401
syn_003474,Online Support – Barriers,0.4348244071006775
syn_003496,Current Digital Tool Use,0.49011313915252686
syn_003500,Current Digital Tool Use,0.44086772203445435
syn_003513,Caregiving Challenges – Balance & Time,0.46006888151168823
syn_003515,Caregiving Challenges – Balance & Time,0.4862867593765259
syn_003528,Caregiving Challenges – Emotional Impact,0.5506265759468079
syn_003531,Caregiving Challenges – Emotional Impact,0.5339815020561218
syn_003550,Caregiving Challenges – Emotional Impact,0.4823693037033081
syn_003559,Caregiving Challenges – Care Recipient Behavior,0.4678107500076294
syn_003564,Caregiving Challenges – Care Recipient Behavior,0.5400577783584595
syn_003588,Caregiving Challenges – Distance Caregiving,0.47712498903274536
syn_003594,Caregiving Challenges – Distance Caregiving,0.47337764501571655
syn_003606,Caregiving Challenges – None Reported,0.4438158869743347
syn_003608,Caregiving Challenges – None Reported,0.45047539472579956
syn_003610,Caregiving Challenges – None Reported,0.4701656699180603
syn_003623,Caregiving Challenges – None Reported,0.5262512564659119
syn_003630,Support Currently Used,0.4784136414527893
syn_003632,Support Currently Used,0.49444663524627686
syn_003653,Support Needed,0.43292683362960815
syn_003658,Support Needed,0.5030631422996521
syn_003683,Online Support – Willingness,0.5320311784744263
syn_003704,Online Support – Barriers,0.5057902932167053
syn_003718,Online Support – Barriers,0.4694559574127197
syn_003728,Current Digital Tool Use,0.5213013887405396
syn_003742,Current Digital Tool Use,0.4419477581977844
syn_003746,Current Digital Tool Use,0.3732869029045105
syn_003759,Support Currently Used,0.41771215200424194
syn_003791,Caregiving Challenges – Balance & Time,0.46248406171798706
syn_003797,Caregiving Challenges – Balance & Time,0.5122038125991821
syn_003839,Caregiving Challenges – Care Recipient Behavior,0.475257933139801
syn_003859,Caregiving Challenges – Distance Caregiving,0.3990468978881836
syn_003861,Caregiving Challenges – Distance Caregiving,0.4949042797088623
syn_003903,Support Needed,0.49266761541366577
syn_003919,Support Needed,0.4520779848098755
syn_003921,Support Needed,0.49541544914245605
syn_003972,Online Support – Barriers,0.5281504988670349
syn_003976,Current Digital Tool Use,0.40382224321365356
syn_003994,Current Digital Tool Use,0.48720085620880127
syn_003999,Current Digital Tool Use,0.4669418931007385
syn_004009,Support Currently Used,0.5012924671173096
syn_004039,Caregiving Challenges – Balance & Time,0.4864345192909241
syn_004047,Caregiving Challenges – Balance & Time,0.444516658782959
syn_004054,Caregiving Challenges – Emotional Impact,0.45622384548187256
syn_004067,Caregiving Challenges – Emotional Impact,0.45650559663772583
syn_004098,Caregiving Challenges – Distance Caregiving,0.44116538763046265
syn_004130,Support Needed,0.5281996130943298
syn_004161,Online Support – Willingness,0.42732876539230347
syn_004247,Current Digital Tool Use,0.46714603900909424
syn_004345,Caregiving Challenges – Care Recipient Behavior,0.5024486184120178
syn_004353,Caregiving Challenges – Distance Caregiving,0.48866039514541626
syn_004388,Caregiving Challenges – None Reported,0.4653293490409851
syn_004402,Support Needed,0.4726412892341614
syn_004414,Support Needed,0.4775962233543396
syn_004417,Support Needed,0.46768665313720703
syn_004442,Online Support – Willingness,0.47396373748779297
syn_004464,Online Support – Barriers,0.46597039699554443
syn_004468,Online Support – Barriers,0.4953502416610718
syn_004482,Current Digital Tool Use,0.45787864923477173
syn_004510,Support Currently Used,0.47510284185409546
syn_004524,Support Currently Used,0.4503994584083557
syn_004571,Caregiving Challenges – Emotional Impact,0.4973410964012146
syn_004584,Caregiving Challenges – Care Recipient Behavior,0.4544495940208435
syn_004591,Caregiving Challenges – Care Recipient Behavior,0.4870595335960388
syn_004604,Caregiving Challenges – Distance Caregiving,0.5078001022338867
syn_004608,Caregiving Challenges – Distance Caregiving,0.4796830415725708
syn_004617,Caregiving Challenges – Distance Caregiving,0.4754296541213989
syn_004633,Caregiving Challenges – None Reported,0.4674661159515381
syn_004636,Caregiving Challenges – None Reported,0.41436028480529785
syn_004638,Caregiving Challenges – None Reported,0.4795125126838684
syn_004640,Caregiving Challenges – None Reported,0.507051944732666
syn_004666,Support Needed,0.4912068247795105
syn_004676,Online Support – Willingness,0.4523446559906006
syn_004688,Online Support – Willingness,0.4640500545501709
syn_004699,Online Support – Willingness,0.48857104778289795
syn_004705,Online Support – Barriers,0.42411094903945923
syn_004729,Current Digital Tool Use,0.45554500818252563
syn_004751,Support Currently Used,0.4660186767578125
syn_004777,Caregiving Challenges – Balance & Time,0.45000261068344116
syn_004786,Caregiving Challenges – Balance & Time,0.4588039517402649
syn_004791,Caregiving Challenges – Balance & Time,0.4747943878173828
syn_004794,Caregiving Challenges – Balance & Time,0.4242710471153259
syn_004804,Caregiving Challenges – Emotional Impact,0.4644097685813904
syn_004807,Caregiving Challenges – Emotional Impact,0.5000279545783997
syn_004808,Caregiving Challenges – Emotional Impact,0.46763354539871216
syn_004823,Caregiving Challenges – Emotional Impact,0.5218940377235413
syn_004854,Caregiving Challenges – Distance Caregiving,0.4674797058105469
syn_004891,Caregiving Challenges – None Reported,0.46837377548217773
syn_004894,Caregiving Challenges – None Reported,0.471731960773468
syn_004906,Support Needed,0.5062663555145264
syn_004918,Support Needed,0.5280991792678833
syn_004940,Online Support – Willingness,0.5109612345695496
syn_004943,Online Support – Willingness,0.4495195746421814
syn_004944,Online Support – Willingness,0.41465747356414795
