id,category,BLEURT
syn_000027,Caregiving Challenges – Emotional Impact,0.4378201365470886
syn_000039,Caregiving Challenges – Emotional Impact,0.42790788412094116
syn_000049,Caregiving Challenges – Emotional Impact,0.4677550792694092
syn_000050,Caregiving Challenges – Emotional Impact,0.45464181900024414
syn_000095,Caregiving Challenges – Distance Caregiving,0.42889171838760376
syn_000139,Support Currently Used,0.4236014485359192
syn_000163,Support Needed,0.4375084638595581
syn_000169,Support Needed,0.3999977111816406
syn_000200,Online Support – Willingness,0.46927642822265625
syn_000204,Online Support – Barriers,0.42203813791275024
syn_000303,Caregiving Challenges – Care Recipient Behavior,0.4509388208389282
syn_000304,Caregiving Challenges – Care Recipient Behavior,0.46413350105285645
syn_000322,Caregiving Challenges – Care Recipient Behavior,0.49571019411087036
syn_000328,Caregiving Challenges – Distance Caregiving,0.50316321849823
syn_000352,Caregiving Challenges – None Reported,0.4377868175506592
syn_000385,Support Currently Used,0.4462730288505554
syn_000391,Support Currently Used,0.42159217596054077
syn_000392,Support Currently Used,0.5081993341445923
syn_000401,Support Needed,0.37738052010536194
syn_000416,Support Needed,0.4413263201713562
syn_000423,Support Needed,0.43655121326446533
syn_000436,Online Support – Willingness,0.40404266119003296
syn_000452,Online Support – Barriers,0.3710443675518036
syn_000453,Online Support – Barriers,0.5051753520965576
syn_000457,Online Support – Barriers,0.4775763154029846
syn_000467,Online Support – Barriers,0.47310566902160645
syn_000471,Online Support – Barriers,0.4880649447441101
syn_000486,Current Digital Tool Use,0.5086679458618164
syn_000530,Caregiving Challenges – Emotional Impact,0.48400306701660156
syn_000533,Caregiving Challenges – Emotional Impact,0.4535994529724121
syn_000539,Caregiving Challenges – Emotional Impact,0.47367000579833984
syn_000572,Caregiving Challenges – Care Recipient Behavior,0.5120581388473511
syn_000605,Caregiving Challenges – None Reported,0.48681342601776123
syn_000637,Support Currently Used,0.4499307870864868
syn_000645,Support Currently Used,0.43223869800567627
syn_000660,Support Needed,0.5434762835502625
syn_000678,Online Support – Willingness,0.3807130455970764
syn_000686,Online Support – Willingness,0.4385056495666504
syn_000693,Online Support – Willingness,0.43577468395233154
syn_000712,Online Support – Barriers,0.4327787756919861
syn_000726,Current Digital Tool Use,0.4240434169769287
syn_000744,Current Digital Tool Use,0.45303642749786377
syn_000751,Caregiving Challenges – Balance & Time,0.48875921964645386
syn_000761,Caregiving Challenges – Balance & Time,0.47157859802246094
syn_000783,Caregiving Challenges – Emotional Impact,0.4591752290725708
