id,category,BLEURT
syn_000027,Caregiving Challenges – Emotional Impact,0.4777947664260864
syn_000039,Caregiving Challenges – Emotional Impact,0.3863847255706787
syn_000049,Caregiving Challenges – Emotional Impact,0.4484872817993164
syn_000050,Caregiving Challenges – Emotional Impact,0.4797207713127136
syn_000095,Caregiving Challenges – Distance Caregiving,0.44902193546295166
syn_000139,Support Currently Used,0.41350609064102173
syn_000163,Support Needed,0.411224901676178
syn_000169,Support Needed,0.42606455087661743
syn_000200,Online Support – Willingness,0.4666403532028198
syn_000204,Online Support – Barriers,0.4680125117301941
syn_000303,Caregiving Challenges – Care Recipient Behavior,0.442634642124176
syn_000304,Caregiving Challenges – Care Recipient Behavior,0.49928146600723267
syn_000322,Caregiving Challenges – Care Recipient Behavior,0.5343679785728455
syn_000328,Caregiving Challenges – Distance Caregiving,0.42906391620635986
syn_000352,Caregiving Challenges – None Reported,0.47136402130126953
syn_000385,Support Currently Used,0.4453531503677368
syn_000391,Support Currently Used,0.42728906869888306
syn_000392,Support Currently Used,0.5138346552848816
syn_000401,Support Needed,0.38031792640686035
syn_000416,Support Needed,0.418245792388916
syn_000423,Support Needed,0.3658444881439209
syn_000436,Online Support – Willingness,0.40390878915786743
syn_000452,Online Support – Barriers,0.383893221616745
syn_000453,Online Support – Barriers,0.4503176808357239
syn_000457,Online Support – Barriers,0.43042653799057007
syn_000467,Online Support – Barriers,0.4369748830795288
syn_000471,Online Support – Barriers,0.5178630948066711
syn_000486,Current Digital Tool Use,0.43107330799102783
syn_000530,Caregiving Challenges – Emotional Impact,0.4599485397338867
syn_000533,Caregiving Challenges – Emotional Impact,0.4876024127006531
syn_000539,Caregiving Challenges – Emotional Impact,0.49670249223709106
syn_000572,Caregiving Challenges – Care Recipient Behavior,0.4521183967590332
syn_000605,Caregiving Challenges – None Reported,0.4267932176589966
syn_000637,Support Currently Used,0.42659294605255127
syn_000645,Support Currently Used,0.4444672465324402
syn_000660,Support Needed,0.5783393979072571
syn_000678,Online Support – Willingness,0.34786343574523926
syn_000686,Online Support – Willingness,0.3660017251968384
syn_000693,Online Support – Willingness,0.4803279638290405
syn_000712,Online Support – Barriers,0.4538569450378418
syn_000726,Current Digital Tool Use,0.4505784511566162
syn_000744,Current Digital Tool Use,0.4429470896720886
syn_000751,Caregiving Challenges – Balance & Time,0.4672360420227051
syn_000761,Caregiving Challenges – Balance & Time,0.42624109983444214
syn_000783,Caregiving Challenges – Emotional Impact,0.4257688522338867
syn_000786,Caregiving Challenges – Emotional Impact,0.3643611669540405
syn_000817,Caregiving Challenges – Care Recipient Behavior,0.4919655919075012
syn_000846,Caregiving Challenges – Distance Caregiving,0.5184815526008606
syn_000852,Caregiving Challenges – None Reported,0.43338924646377563
syn_000866,Caregiving Challenges – None Reported,0.4978238344192505
syn_000868,Caregiving Challenges – None Reported,0.4631056785583496
syn_000875,Caregiving Challenges – None Reported,0.44525033235549927
syn_000906,Support Needed,0.5152853727340698
syn_000955,Online Support – Barriers,0.44100672006607056
syn_000979,Current Digital Tool Use,0.4905970096588135
syn_001060,Caregiving Challenges – Care Recipient Behavior,0.42359280586242676
syn_001063,Caregiving Challenges – Care Recipient Behavior,0.4098213315010071
syn_001077,Caregiving Challenges – Distance Caregiving,0.4721245765686035
syn_001084,Caregiving Challenges – Distance Caregiving,0.4604097008705139
syn_001109,Caregiving Challenges – None Reported,0.4572087526321411
syn_001111,Caregiving Challenges – None Reported,0.46038925647735596
syn_001124,Caregiving Challenges – None Reported,0.36674290895462036
syn_001178,Online Support – Willingness,0.463847279548645
syn_001183,Online Support – Willingness,0.4287489056587219
syn_001191,Online Support – Willingness,0.4629751443862915
syn_001201,Online Support – Barriers,0.4274333715438843
syn_001209,Online Support – Barriers,0.4593735933303833
syn_001238,Current Digital Tool Use,0.4390968084335327
syn_001287,Caregiving Challenges – Emotional Impact,0.4501308798789978
syn_001317,Caregiving Challenges – Care Recipient Behavior,0.426902174949646
syn_001318,Caregiving Challenges – Care Recipient Behavior,0.45230209827423096
syn_001338,Caregiving Challenges – Distance Caregiving,0.4002460241317749
syn_001357,Caregiving Challenges – None Reported,0.43355780839920044
syn_001377,Support Currently Used,0.4336273670196533
syn_001382,Support Currently Used,0.45723724365234375
syn_001385,Support Currently Used,0.4625832438468933
syn_001409,Support Needed,0.41698235273361206
syn_001430,Online Support – Willingness,0.4551502466201782
syn_001496,Current Digital Tool Use,0.490392804145813
syn_001498,Current Digital Tool Use,0.48077112436294556
syn_001528,Caregiving Challenges – Emotional Impact,0.4545946717262268
syn_001563,Caregiving Challenges – Care Recipient Behavior,0.44704902172088623
syn_001567,Caregiving Challenges – Care Recipient Behavior,0.4232555031776428
syn_001586,Caregiving Challenges – Distance Caregiving,0.40109312534332275
syn_001597,Caregiving Challenges – Distance Caregiving,0.5147761702537537
syn_001662,Support Needed,0.3987784683704376
syn_001668,Support Needed,0.4361634850502014
syn_001670,Support Needed,0.5168030261993408
syn_001685,Online Support – Willingness,0.32912570238113403
syn_001709,Online Support – Barriers,0.4475090503692627
syn_001726,Current Digital Tool Use,0.4700683355331421
syn_001727,Current Digital Tool Use,0.46060919761657715
syn_001746,Current Digital Tool Use,0.4857169985771179
syn_001747,Current Digital Tool Use,0.4406049847602844
syn_001765,Caregiving Challenges – Balance & Time,0.41896432638168335
syn_001766,Caregiving Challenges – Balance & Time,0.41984182596206665
syn_001768,Caregiving Challenges – Balance & Time,0.3454567790031433
syn_001770,Caregiving Challenges – Balance & Time,0.4363982677459717
syn_001819,Caregiving Challenges – Care Recipient Behavior,0.479340136051178
syn_001822,Caregiving Challenges – Care Recipient Behavior,0.41157644987106323
syn_001833,Caregiving Challenges – Distance Caregiving,0.4120284914970398
syn_001842,Caregiving Challenges – Distance Caregiving,0.4370574355125427
syn_001845,Caregiving Challenges – Distance Caregiving,0.45702308416366577
syn_001872,Caregiving Challenges – None Reported,0.4810226559638977
syn_001877,Support Currently Used,0.46444565057754517
syn_001969,Online Support – Barriers,0.47087621688842773
syn_002012,Caregiving Challenges – Balance & Time,0.3857606053352356
syn_002025,Caregiving Challenges – Balance & Time,0.34775054454803467
syn_002040,Caregiving Challenges – Emotional Impact,0.472658634185791
syn_002054,Caregiving Challenges – Care Recipient Behavior,0.44502294063568115
syn_002094,Caregiving Challenges – Distance Caregiving,0.4294533133506775
syn_002132,Support Currently Used,0.44425976276397705
syn_002175,Support Needed,0.4277647137641907
syn_002176,Online Support – Willingness,0.445719838142395
syn_002211,Online Support – Barriers,0.4783446788787842
syn_002226,Current Digital Tool Use,0.32252031564712524
syn_002256,Caregiving Challenges – Balance & Time,0.42522692680358887
syn_002266,Caregiving Challenges – Balance & Time,0.47474604845046997
syn_002273,Caregiving Challenges – Balance & Time,0.4293091893196106
syn_002292,Caregiving Challenges – Emotional Impact,0.4092060923576355
syn_002363,Caregiving Challenges – None Reported,0.4577396512031555
syn_002392,Support Currently Used,0.48011302947998047
syn_002476,Current Digital Tool Use,0.5420863032341003
syn_002482,Current Digital Tool Use,0.42744094133377075
syn_002559,Caregiving Challenges – Care Recipient Behavior,0.4925110340118408
syn_002581,Caregiving Challenges – Distance Caregiving,0.4531111717224121
syn_002603,Caregiving Challenges – None Reported,0.5117142796516418
syn_002621,Caregiving Challenges – None Reported,0.4178866744041443
syn_002664,Support Needed,0.47427523136138916
syn_002669,Support Needed,0.3885992169380188
syn_002676,Online Support – Willingness,0.4429600238800049
syn_002679,Online Support – Willingness,0.4600832462310791
syn_002682,Online Support – Willingness,0.47289174795150757
syn_002769,Caregiving Challenges – Balance & Time,0.37993770837783813
syn_002795,Caregiving Challenges – Emotional Impact,0.3902158737182617
syn_002813,Caregiving Challenges – Care Recipient Behavior,0.4278517961502075
syn_002929,Online Support – Willingness,0.4657684564590454
syn_002941,Online Support – Willingness,0.505786120891571
syn_002965,Online Support – Barriers,0.45644301176071167
syn_002979,Current Digital Tool Use,0.4330783486366272
syn_003010,Caregiving Challenges – Balance & Time,0.43524086475372314
syn_003020,Caregiving Challenges – Balance & Time,0.49743980169296265
syn_003072,Caregiving Challenges – Care Recipient Behavior,0.5473875999450684
syn_003086,Caregiving Challenges – Distance Caregiving,0.5140590667724609
syn_003104,Caregiving Challenges – None Reported,0.5012508630752563
syn_003125,Caregiving Challenges – None Reported,0.41473788022994995
syn_003132,Support Currently Used,0.511323869228363
syn_003134,Support Currently Used,0.43819934129714966
syn_003136,Support Currently Used,0.44037020206451416
syn_003173,Support Needed,0.43035775423049927
syn_003203,Online Support – Barriers,0.45567643642425537
syn_003233,Current Digital Tool Use,0.4906935691833496
syn_003261,Caregiving Challenges – Balance & Time,0.3991308808326721
syn_003283,Caregiving Challenges – Emotional Impact,0.4992104172706604
syn_003308,Caregiving Challenges – Care Recipient Behavior,0.5099020004272461
syn_003319,Caregiving Challenges – Care Recipient Behavior,0.44731074571609497
syn_003340,Caregiving Challenges – Distance Caregiving,0.44268864393234253
syn_003392,Support Currently Used,0.48103082180023193
syn_003418,Support Needed,0.4238201975822449
syn_003441,Online Support – Willingness,0.4772663116455078
syn_003459,Online Support – Barriers,0.42365795373916626
syn_003474,Online Support – Barriers,0.43009305000305176
syn_003496,Current Digital Tool Use,0.49919217824935913
syn_003500,Current Digital Tool Use,0.4284708499908447
syn_003513,Caregiving Challenges – Balance & Time,0.38398876786231995
syn_003515,Caregiving Challenges – Balance & Time,0.49740326404571533
syn_003528,Caregiving Challenges – Emotional Impact,0.4796132445335388
syn_003531,Caregiving Challenges – Emotional Impact,0.4090142250061035
syn_003550,Caregiving Challenges – Emotional Impact,0.38594335317611694
syn_003559,Caregiving Challenges – Care Recipient Behavior,0.4306768774986267
syn_003564,Caregiving Challenges – Care Recipient Behavior,0.45841312408447266
syn_003588,Caregiving Challenges – Distance Caregiving,0.43600916862487793
syn_003594,Caregiving Challenges – Distance Caregiving,0.47564393281936646
syn_003606,Caregiving Challenges – None Reported,0.4798288345336914
syn_003608,Caregiving Challenges – None Reported,0.4529991149902344
syn_003610,Caregiving Challenges – None Reported,0.4140660762786865
syn_003623,Caregiving Challenges – None Reported,0.42492520809173584
syn_003630,Support Currently Used,0.44105446338653564
syn_003632,Support Currently Used,0.4938462972640991
syn_003653,Support Needed,0.4757680892944336
syn_003658,Support Needed,0.4901388883590698
syn_003683,Online Support – Willingness,0.43824297189712524
syn_003704,Online Support – Barriers,0.4123830795288086
syn_003718,Online Support – Barriers,0.4804765582084656
syn_003728,Current Digital Tool Use,0.45731592178344727
syn_003742,Current Digital Tool Use,0.4215453267097473
syn_003746,Current Digital Tool Use,0.4751965403556824
syn_003759,Support Currently Used,0.4045640826225281
syn_003791,Caregiving Challenges – Balance & Time,0.38928115367889404
syn_003797,Caregiving Challenges – Balance & Time,0.479377806186676
syn_003839,Caregiving Challenges – Care Recipient Behavior,0.4850423336029053
syn_003859,Caregiving Challenges – Distance Caregiving,0.45907169580459595
syn_003861,Caregiving Challenges – Distance Caregiving,0.4417716860771179
syn_003903,Support Needed,0.3945481777191162
syn_003919,Support Needed,0.4386884570121765
syn_003921,Support Needed,0.38614681363105774
syn_003972,Online Support – Barriers,0.4646255373954773
syn_003976,Current Digital Tool Use,0.42064040899276733
syn_003994,Current Digital Tool Use,0.423215389251709
syn_003999,Current Digital Tool Use,0.4195042848587036
syn_004009,Support Currently Used,0.45045506954193115
syn_004039,Caregiving Challenges – Balance & Time,0.4622906446456909
syn_004047,Caregiving Challenges – Balance & Time,0.45961326360702515
syn_004054,Caregiving Challenges – Emotional Impact,0.4038779139518738
syn_004067,Caregiving Challenges – Emotional Impact,0.4810088872909546
syn_004098,Caregiving Challenges – Distance Caregiving,0.39331820607185364
syn_004130,Support Needed,0.4738531708717346
syn_004161,Online Support – Willingness,0.333926260471344
syn_004247,Current Digital Tool Use,0.4813988208770752
syn_004345,Caregiving Challenges – Care Recipient Behavior,0.5092998147010803
syn_004353,Caregiving Challenges – Distance Caregiving,0.45490431785583496
syn_004388,Caregiving Challenges – None Reported,0.4755610227584839
syn_004402,Support Needed,0.5084068179130554
syn_004414,Support Needed,0.4824451208114624
syn_004417,Support Needed,0.4525790214538574
syn_004442,Online Support – Willingness,0.4722217321395874
syn_004464,Online Support – Barriers,0.4580240845680237
syn_004468,Online Support – Barriers,0.41784346103668213
syn_004482,Current Digital Tool Use,0.42887645959854126
syn_004510,Support Currently Used,0.44776731729507446
syn_004524,Support Currently Used,0.45308148860931396
syn_004571,Caregiving Challenges – Emotional Impact,0.49113571643829346
syn_004584,Caregiving Challenges – Care Recipient Behavior,0.3930720090866089
syn_004591,Caregiving Challenges – Care Recipient Behavior,0.452886164188385
syn_004604,Caregiving Challenges – Distance Caregiving,0.4569569230079651
syn_004608,Caregiving Challenges – Distance Caregiving,0.45006096363067627
syn_004617,Caregiving Challenges – Distance Caregiving,0.4047003984451294
syn_004633,Caregiving Challenges – None Reported,0.469160795211792
syn_004636,Caregiving Challenges – None Reported,0.48325014114379883
syn_004638,Caregiving Challenges – None Reported,0.3762267231941223
syn_004640,Caregiving Challenges – None Reported,0.4660186171531677
syn_004666,Support Needed,0.4991590976715088
syn_004676,Online Support – Willingness,0.376241534948349
syn_004688,Online Support – Willingness,0.41786545515060425
syn_004699,Online Support – Willingness,0.43569719791412354
syn_004705,Online Support – Barriers,0.42969876527786255
syn_004729,Current Digital Tool Use,0.31394052505493164
syn_004751,Support Currently Used,0.38259726762771606
syn_004777,Caregiving Challenges – Balance & Time,0.3813124895095825
syn_004786,Caregiving Challenges – Balance & Time,0.3977419137954712
syn_004791,Caregiving Challenges – Balance & Time,0.43547511100769043
syn_004794,Caregiving Challenges – Balance & Time,0.4016033411026001
syn_004804,Caregiving Challenges – Emotional Impact,0.46256619691848755
syn_004807,Caregiving Challenges – Emotional Impact,0.442926287651062
syn_004808,Caregiving Challenges – Emotional Impact,0.4471292495727539
syn_004823,Caregiving Challenges – Emotional Impact,0.46818989515304565
syn_004854,Caregiving Challenges – Distance Caregiving,0.31207913160324097
syn_004891,Caregiving Challenges – None Reported,0.45325547456741333
syn_004894,Caregiving Challenges – None Reported,0.49367260932922363
syn_004906,Support Needed,0.4545918107032776
syn_004918,Support Needed,0.5040204524993896
syn_004940,Online Support – Willingness,0.45319414138793945
syn_004943,Online Support – Willingness,0.3727043867111206
syn_004944,Online Support – Willingness,0.447925329208374
syn_004955,Online Support – Barriers,0.4392964839935303
syn_004963,Online Support – Barriers,0.4226433038711548
syn_005001,Support Currently Used,0.4557915925979614
syn_005011,Support Currently Used,0.46735429763793945
syn_005036,Caregiving Challenges – Balance & Time,0.34693819284439087
syn_005039,Caregiving Challenges – Balance & Time,0.40211325883865356
syn_005041,Caregiving Challenges – Balance & Time,0.44346731901168823
syn_005045,Caregiving Challenges – Balance & Time,0.39496707916259766
syn_005050,Caregiving Challenges – Emotional Impact,0.43612152338027954
syn_005075,Caregiving Challenges – Care Recipient Behavior,0.44864195585250854
syn_005102,Caregiving Challenges – Distance Caregiving,0.4909534454345703
