id,category,BLEURT
syn_000027,Caregiving Challenges – Emotional Impact,0.4805903434753418
syn_000039,Caregiving Challenges – Emotional Impact,0.3933413624763489
syn_000049,Caregiving Challenges – Emotional Impact,0.4085184931755066
syn_000050,Caregiving Challenges – Emotional Impact,0.4442337155342102
syn_000095,Caregiving Challenges – Distance Caregiving,0.4873958230018616
syn_000139,Support Currently Used,0.3529067039489746
syn_000163,Support Needed,0.40906405448913574
syn_000169,Support Needed,0.3595676124095917
syn_000200,Online Support – Willingness,0.417574405670166
syn_000204,Online Support – Barriers,0.4695008397102356
syn_000303,Caregiving Challenges – Care Recipient Behavior,0.4589611887931824
syn_000304,Caregiving Challenges – Care Recipient Behavior,0.5059925317764282
syn_000322,Caregiving Challenges – Care Recipient Behavior,0.4834948778152466
syn_000328,Caregiving Challenges – Distance Caregiving,0.4766729474067688
syn_000352,Caregiving Challenges – None Reported,0.46266674995422363
syn_000385,Support Currently Used,0.4887758493423462
syn_000391,Support Currently Used,0.3784690201282501
syn_000392,Support Currently Used,0.5219665765762329
syn_000401,Support Needed,0.28159868717193604
syn_000416,Support Needed,0.429654061794281
syn_000423,Support Needed,0.32209527492523193
syn_000436,Online Support – Willingness,0.43119102716445923
syn_000452,Online Support – Barriers,0.39134377241134644
syn_000453,Online Support – Barriers,0.4479803442955017
syn_000457,Online Support – Barriers,0.4953416585922241
syn_000467,Online Support – Barriers,0.437414288520813
syn_000471,Online Support – Barriers,0.40509939193725586
syn_000486,Current Digital Tool Use,0.5232230424880981
syn_000530,Caregiving Challenges – Emotional Impact,0.438495397567749
syn_000533,Caregiving Challenges – Emotional Impact,0.46994131803512573
syn_000539,Caregiving Challenges – Emotional Impact,0.4722369909286499
syn_000572,Caregiving Challenges – Care Recipient Behavior,0.36772096157073975
syn_000605,Caregiving Challenges – None Reported,0.45900261402130127
syn_000637,Support Currently Used,0.4454187750816345
syn_000645,Support Currently Used,0.38129740953445435
syn_000660,Support Needed,0.5282610058784485
syn_000678,Online Support – Willingness,0.381830096244812
syn_000686,Online Support – Willingness,0.4363973140716553
syn_000693,Online Support – Willingness,0.45269471406936646
syn_000712,Online Support – Barriers,0.41861867904663086
syn_000726,Current Digital Tool Use,0.39149320125579834
syn_000744,Current Digital Tool Use,0.4456525444984436
syn_000751,Caregiving Challenges – Balance & Time,0.48511171340942383
syn_000761,Caregiving Challenges – Balance & Time,0.46028029918670654
syn_000783,Caregiving Challenges – Emotional Impact,0.38236886262893677
syn_000786,Caregiving Challenges – Emotional Impact,0.48512184619903564
syn_000817,Caregiving Challenges – Care Recipient Behavior,0.4795451760292053
syn_000846,Caregiving Challenges – Distance Caregiving,0.46812814474105835
syn_000852,Caregiving Challenges – None Reported,0.4219983220100403
syn_000866,Caregiving Challenges – None Reported,0.40660959482192993
syn_000868,Caregiving Challenges – None Reported,0.427295982837677
syn_000875,Caregiving Challenges – None Reported,0.4440675377845764
syn_000906,Support Needed,0.48155999183654785
syn_000955,Online Support – Barriers,0.4769997000694275
syn_000979,Current Digital Tool Use,0.47851574420928955
syn_001060,Caregiving Challenges – Care Recipient Behavior,0.406599223613739
syn_001063,Caregiving Challenges – Care Recipient Behavior,0.41552501916885376
syn_001077,Caregiving Challenges – Distance Caregiving,0.5077075362205505
syn_001084,Caregiving Challenges – Distance Caregiving,0.4642714858055115
syn_001109,Caregiving Challenges – None Reported,0.4677979350090027
syn_001111,Caregiving Challenges – None Reported,0.4161323308944702
syn_001124,Caregiving Challenges – None Reported,0.39483219385147095
syn_001178,Online Support – Willingness,0.4443586468696594
syn_001183,Online Support – Willingness,0.4542081952095032
syn_001191,Online Support – Willingness,0.4192086458206177
syn_001201,Online Support – Barriers,0.4273996949195862
syn_001209,Online Support – Barriers,0.40168577432632446
syn_001238,Current Digital Tool Use,0.4076957106590271
syn_001287,Caregiving Challenges – Emotional Impact,0.42038846015930176
syn_001317,Caregiving Challenges – Care Recipient Behavior,0.4303470849990845
syn_001318,Caregiving Challenges – Care Recipient Behavior,0.4574958086013794
syn_001338,Caregiving Challenges – Distance Caregiving,0.4009716510772705
syn_001357,Caregiving Challenges – None Reported,0.42161494493484497
syn_001377,Support Currently Used,0.43871116638183594
syn_001382,Support Currently Used,0.42594486474990845
syn_001385,Support Currently Used,0.4124826192855835
syn_001409,Support Needed,0.4154701232910156
syn_001430,Online Support – Willingness,0.4215348958969116
syn_001496,Current Digital Tool Use,0.4977267384529114
syn_001498,Current Digital Tool Use,0.42797696590423584
syn_001528,Caregiving Challenges – Emotional Impact,0.4492158889770508
syn_001563,Caregiving Challenges – Care Recipient Behavior,0.447983980178833
syn_001567,Caregiving Challenges – Care Recipient Behavior,0.45665061473846436
syn_001586,Caregiving Challenges – Distance Caregiving,0.4454349875450134
syn_001597,Caregiving Challenges – Distance Caregiving,0.4362301230430603
syn_001662,Support Needed,0.37927716970443726
syn_001668,Support Needed,0.4059414863586426
syn_001670,Support Needed,0.48047804832458496
syn_001685,Online Support – Willingness,0.36206167936325073
syn_001709,Online Support – Barriers,0.4341977834701538
syn_001726,Current Digital Tool Use,0.46357542276382446
syn_001727,Current Digital Tool Use,0.45781469345092773
syn_001746,Current Digital Tool Use,0.508354902267456
syn_001747,Current Digital Tool Use,0.4080779552459717
syn_001765,Caregiving Challenges – Balance & Time,0.44360631704330444
syn_001766,Caregiving Challenges – Balance & Time,0.4554961919784546
syn_001768,Caregiving Challenges – Balance & Time,0.4591227173805237
syn_001770,Caregiving Challenges – Balance & Time,0.4545706510543823
syn_001819,Caregiving Challenges – Care Recipient Behavior,0.44019079208374023
syn_001822,Caregiving Challenges – Care Recipient Behavior,0.4173956513404846
syn_001833,Caregiving Challenges – Distance Caregiving,0.48087775707244873
syn_001842,Caregiving Challenges – Distance Caregiving,0.4403895139694214
syn_001845,Caregiving Challenges – Distance Caregiving,0.4360106587409973
syn_001872,Caregiving Challenges – None Reported,0.4306415915489197
syn_001877,Support Currently Used,0.4603319764137268
syn_001969,Online Support – Barriers,0.3447747826576233
