id,category,BLEURT
syn_000027,Caregiving Challenges – Emotional Impact,0.4673890471458435
syn_000039,Caregiving Challenges – Emotional Impact,0.3990064859390259
syn_000049,Caregiving Challenges – Emotional Impact,0.44916361570358276
syn_000050,Caregiving Challenges – Emotional Impact,0.5087143182754517
syn_000095,Caregiving Challenges – Distance Caregiving,0.4758344888687134
syn_000139,Support Currently Used,0.48176151514053345
syn_000163,Support Needed,0.4409751296043396
syn_000169,Support Needed,0.457297146320343
syn_000200,Online Support – Willingness,0.4646223783493042
syn_000204,Online Support – Barriers,0.4440193176269531
syn_000303,Caregiving Challenges – Care Recipient Behavior,0.43322765827178955
syn_000304,Caregiving Challenges – Care Recipient Behavior,0.4946964383125305
syn_000322,Caregiving Challenges – Care Recipient Behavior,0.4565114378929138
syn_000328,Caregiving Challenges – Distance Caregiving,0.5106036067008972
syn_000352,Caregiving Challenges – None Reported,0.5079065561294556
syn_000385,Support Currently Used,0.43766021728515625
syn_000391,Support Currently Used,0.45191723108291626
syn_000392,Support Currently Used,0.4938417077064514
syn_000401,Support Needed,0.4354671239852905
syn_000416,Support Needed,0.4818111062049866
syn_000423,Support Needed,0.4484860301017761
syn_000436,Online Support – Willingness,0.41753941774368286
syn_000452,Online Support – Barriers,0.42012983560562134
syn_000453,Online Support – Barriers,0.48711198568344116
syn_000457,Online Support – Barriers,0.47253358364105225
syn_000467,Online Support – Barriers,0.4411226511001587
syn_000471,Online Support – Barriers,0.37238264083862305
syn_000486,Current Digital Tool Use,0.4919053316116333
syn_000530,Caregiving Challenges – Emotional Impact,0.45271462202072144
syn_000533,Caregiving Challenges – Emotional Impact,0.4997168779373169
syn_000539,Caregiving Challenges – Emotional Impact,0.4772806167602539
syn_000572,Caregiving Challenges – Care Recipient Behavior,0.4854099750518799
syn_000605,Caregiving Challenges – None Reported,0.4345196485519409
syn_000637,Support Currently Used,0.4641544818878174
syn_000645,Support Currently Used,0.4249894618988037
syn_000660,Support Needed,0.5038259029388428
syn_000678,Online Support – Willingness,0.4360666275024414
syn_000686,Online Support – Willingness,0.4528636336326599
syn_000693,Online Support – Willingness,0.4841728210449219
syn_000712,Online Support – Barriers,0.4413999319076538
syn_000726,Current Digital Tool Use,0.46726906299591064
syn_000744,Current Digital Tool Use,0.46839070320129395
syn_000751,Caregiving Challenges – Balance & Time,0.47909170389175415
syn_000761,Caregiving Challenges – Balance & Time,0.48065584897994995
syn_000783,Caregiving Challenges – Emotional Impact,0.45259225368499756
syn_000786,Caregiving Challenges – Emotional Impact,0.4711334705352783
syn_000817,Caregiving Challenges – Care Recipient Behavior,0.5654906630516052
syn_000846,Caregiving Challenges – Distance Caregiving,0.5054360628128052
syn_000852,Caregiving Challenges – None Reported,0.4816579222679138
syn_000866,Caregiving Challenges – None Reported,0.5173411965370178
syn_000868,Caregiving Challenges – None Reported,0.5104234218597412
syn_000875,Caregiving Challenges – None Reported,0.438477098941803
syn_000906,Support Needed,0.5030238628387451
syn_000955,Online Support – Barriers,0.49536997079849243
syn_000979,Current Digital Tool Use,0.5003706812858582
syn_001060,Caregiving Challenges – Care Recipient Behavior,0.4425421357154846
syn_001063,Caregiving Challenges – Care Recipient Behavior,0.35396480560302734
syn_001077,Caregiving Challenges – Distance Caregiving,0.5057060122489929
syn_001084,Caregiving Challenges – Distance Caregiving,0.4453456997871399
syn_001109,Caregiving Challenges – None Reported,0.43436580896377563
syn_001111,Caregiving Challenges – None Reported,0.4675689935684204
syn_001124,Caregiving Challenges – None Reported,0.39988550543785095
syn_001178,Online Support – Willingness,0.4781911373138428
syn_001183,Online Support – Willingness,0.4545491933822632
syn_001191,Online Support – Willingness,0.4586470127105713
syn_001201,Online Support – Barriers,0.45351332426071167
syn_001209,Online Support – Barriers,0.42822450399398804
syn_001238,Current Digital Tool Use,0.5114607810974121
syn_001287,Caregiving Challenges – Emotional Impact,0.42903023958206177
syn_001317,Caregiving Challenges – Care Recipient Behavior,0.45807015895843506
syn_001318,Caregiving Challenges – Care Recipient Behavior,0.4620276093482971
syn_001338,Caregiving Challenges – Distance Caregiving,0.4373059868812561
syn_001357,Caregiving Challenges – None Reported,0.49025630950927734
syn_001377,Support Currently Used,0.47333449125289917
syn_001382,Support Currently Used,0.4570879340171814
syn_001385,Support Currently Used,0.4780159592628479
