id,category,BERTScore,BLEU,ROUGE-L,METEOR
syn_000027,Caregiving Challenges – Emotional Impact,0.5631793141365051,0.05061446180565878,0.18285714285714283,0.2317883324975524
syn_000039,Caregiving Challenges – Emotional Impact,0.5482559204101562,9.590034584014479e-79,0.1675392670157068,0.19314875269563575
syn_000139,Support Currently Used,0.5782601833343506,1.1352428817375487e-78,0.19889502762430936,0.21257712944608043
syn_000049,Caregiving Challenges – Emotional Impact,0.5731381177902222,4.100589605220355e-155,0.19417475728155337,0.22340367111025683
syn_000050,Caregiving Challenges – Emotional Impact,0.576083242893219,5.182759354586697e-155,0.21132075471698114,0.28667440523388726
syn_000095,Caregiving Challenges – Distance Caregiving,0.5634823441505432,9.997953381903558e-79,0.1894736842105263,0.32499746442917826
syn_000163,Support Needed,0.5644442439079285,3.825716935779262e-155,0.15075376884422112,0.26452874978020047
syn_000204,Online Support – Barriers,0.5334717035293579,2.651873786407474e-155,0.13654618473895583,0.22232304900181485
syn_000303,Caregiving Challenges – Care Recipient Behavior,0.5563961267471313,3.3735714614059753e-155,0.20588235294117646,0.2339162971302004
syn_000200,Online Support – Willingness,0.5401069521903992,1.0559788743337186e-78,0.14925373134328357,0.2722762879661669
syn_000169,Support Needed,0.5640709400177002,4.018590948061546e-155,0.1452145214521452,0.29427297166061206
syn_000322,Caregiving Challenges – Care Recipient Behavior,0.5905065536499023,0.05038631198516855,0.19607843137254904,0.2779709008592765
syn_000352,Caregiving Challenges – None Reported,0.5482081174850464,1.3686784999160277e-78,0.1787709497206704,0.19845111326234272
syn_000328,Caregiving Challenges – Distance Caregiving,0.5136880278587341,4.055100976104417e-155,0.17307692307692307,0.20751812987912796
syn_000304,Caregiving Challenges – Care Recipient Behavior,0.5667814612388611,5.001788153602898e-155,0.19661016949152543,0.29855515079991723
syn_000385,Support Currently Used,0.5561307072639465,0.04436608864283883,0.21714285714285714,0.24255725190839691
syn_000391,Support Currently Used,0.5477806925773621,2.891433564002316e-155,0.1693121693121693,0.22233580991225488
syn_000423,Support Needed,0.5565361976623535,3.0716771690374297e-155,0.2236024844720497,0.2598966355739384
syn_000392,Support Currently Used,0.5798271298408508,0.08348153920061048,0.2424242424242424,0.29150121371143134
syn_000401,Support Needed,0.6061335802078247,1.4191137544955445e-78,0.17964071856287422,0.27030408150366864
syn_000416,Support Needed,0.559734046459198,1.347712255124202e-78,0.16981132075471697,0.2844469945226796
syn_000436,Online Support – Willingness,0.5651904344558716,2.9458264577006417e-155,0.13978494623655915,0.20019474370166523
syn_000457,Online Support – Barriers,0.5927634835243225,4.555465150323987e-155,0.16037735849056603,0.2551519756051911
syn_000486,Current Digital Tool Use,0.5481181740760803,1.316784449644888e-78,0.17085427135678394,0.22610197838956006
